Designator,Mid X,Mid Y,Rotation,Layer
C1,134.906,-86.418,270.0,top
C10,132.75,-88.25,90.0,top
C11,157.224964,-88.475,90.0,top
C12,160.724964,-80.75,180.0,top
C13,126.27,-93.21,90.0,top
C14,145.955,-70.25,90.0,top
C15,155.0,-77.0,270.0,top
C16,144.0,-70.25,90.0,top
C17,149.8,-79.052,0.0,top
C18,143.288,-97.594,0.0,top
C19,135.668,-98.864,180.0,top
C2,134.144,-82.862,90.0,top
C20,141.75,-70.25,270.0,top
C21,140.5,-79.0,180.0,top
C3,150.0,-76.25,0.0,top
C4,154.718,-81.846,90.0,top
C5,147.606,-97.848,0.0,top
C6,151.162,-97.848,0.0,top
C7,157.8,-103.75,180.0,top
C8,126.27,-96.705,270.0,top
C9,129.3,-80.75,0.0,top
D1,129.4,-78.5,0.0,top
D2,130.08,-100.515,0.0,top
D3,130.5,-88.25,90.0,top
D4,159.474964,-88.325,90.0,top
D5,160.624964,-78.5,180.0,top
D6,131.0,-105.25,90.0,top
J2,159.0,-92.95,0.0,top
J7,159.01,-99.505,90.0,top
J9,145.0,-103.75,0.0,top
Q1,131.1875,-74.65,0.0,top
Q2,135.4925,-101.658,0.0,top
Q3,128.9375,-84.0,0.0,top
Q4,161.037464,-83.975,180.0,top
Q5,158.787464,-74.75,180.0,top
R1,154.718,-85.402,90.0,top
R10,140.5,-73.75,0.0,top
R2,132.75,-78.4,270.0,top
R3,133.0,-105.25,270.0,top
R4,132.0,-84.1625,90.0,top
R5,157.974964,-84.1375,270.0,top
R6,157.224964,-78.5,270.0,top
R7,138.5,-100.75,270.0,top
R8,151.5,-100.75,270.0,top
R9,140.5,-76.25,0.0,top
SW1,153.5,-105.25,90.0,top
SW2,136.5,-105.25,90.0,top
U1,137.0,-75.75,0.0,top
U2,145.0,-88.1,0.0,top
U4,145.0,-76.75,90.0,top
U5,152.25,-71.5,180.0,top
U6,131.858,-94.292,180.0,top
X1,139.75,-97.5,0.0,top
